Post_ID,Post_Title,Post_Content,Post_Author,Post_Author_Rank,Post_Date,Post_Category,Number_of_Comments,Post_URL
PTSD-119,Not sure how to tell my family (rape),"When I was 11, my virginity was taken by a man from rape in my home.I never told anyone in my family, and after a few months I told some friends at school and they shamed me, accusing me of making up lies and that I didn't realise what I was saying as rape is a serious accusation. I learnt to keep my mouth shut and as I grew older, I started to feel safe to share with some people that ""my virginity was taken non-conconsensually"", as this felt not as serious as using the word rape. For me, it removed the weight of the experience and this was reflected in how people responded to it. ""Oh, that sucks!"". I started self-harming when I was 13. I stopped and started over the next 2 decades and was in and out of therapy.I am now 33, in therapy with a fantastic therapist (finally), recently diagnosed with PTSD and everything is bubbling to the surface. Certain friends know, I'm claiming that I was raped and being clear about it. My partner knows but for some reason I feel that I want my family to know. It happened while they were home, only a door between me, my rapist and them. I don't know exactly why I want to tell them, maybe to explain away my mental health history? And for some other reason I feel the words get trapped in my throat just at the thought of approaching the conversation. How would I even start it? How could I explain my reasons for wanting to share? What's the point? Is it self-serving to relieve myself of the desire to tell them and burden them with the knowing? Why now? So many questions. It would be helpful to receive reflections, your own personal experience with sharing with important figures in your life, even advice. Thank you for this space.",Ell91,Community Member,13-09-2024,PTSD and trauma,2,/t5/ptsd-and-trauma/not-sure-how-to-tell-my-family-rape/td-p/599657
PTSD-120,idk,"Ok so i have a lot to sayFirstly im lesbian, have been since last year, and my parents went through my phone a few months ago, found chats where i was s3xually explicit with girls and they were PISSED. They are very religious and very very homophobic :((( that rlly damaged my mental health and they still make remarks about it and i currently have a gf and i dont know how to hide her from them and i dont want to break up either, even though ik safety wise itd be better for meSecondly, last year i was r@ ped by someone. i dont want to go into too many details but it shattered my mental health and caused me to s3lf h@r m quite frequently. I havent told anyone except for my friend and my gf (both of who were very understanding and compassionate) but im terrified ill be too scared for intimacy or the trauma will plague me forever and i just dont knowI want to talk to our school based youth therapist about both things but will they tell my parents anything??? i dont know how confidential it is, they (parents) dont know about the @ssault/h @rming cause i know them well enough to know theyd just blame me and say i deserved it.I dont like my parents at all omg.I think thats basically all i wanted to say, if anyone has advice or comforting words or their own experiences i would deeply appreciate it Laney.",Laney-BB1234,Community Member,14-09-2024,PTSD and trauma,1,/t5/ptsd-and-trauma/idk/td-p/599692
PTSD-121,Fear of family is going to kill me,"I don’t really know how to word it but my family is amazing i love them so much and they do everything for me i’ve never had any problems with them other then arguments with my dad. at night when i go to bed i have a constant fear they are going to stab me or kill me while i’m sleeping, but sometimes i’m scared i would be the one to kill them and i know i would never but at night i feel so much fear i can’t even walk to the bathroom cause i’m scared. i also have a fear that i will walk into my dad taking his life and it scares me bc we don’t have the best relationship. i can’t tell my family how i feel bc i’m scared they will be frighten by me what do i do ?",Guest_26263721,Community Member,19-08-2024,PTSD and trauma,3,/t5/ptsd-and-trauma/fear-of-family-is-going-to-kill-me/td-p/597922
PTSD-122,I dont trust anyone anymore,"Hi, im female 31years old.. My childhood was messed up. In abuse relationship for 3 times.When something bad happen to me, my brain automatically forget the details of accident,. And i continued my life as nothing ever happened to me. And recently i been in domestic violence. The most bad one i been thro, and again i forget what happen and after few month something trigger me and I remembered everything that have happenned to me. everything felt came to end. I been thro something hell and end up been diagnosed with major depression and cptsd.Its almost 3 week now i cant go out from my house, a week with trial medicine. Do you think i will healed from this as im tired of life, i forced myself to get help coz i have my two cat depend on me.",Vanysvv,Community Member,08-09-2024,PTSD and trauma,2,/t5/ptsd-and-trauma/i-dont-trust-anyone-anymore/td-p/599321
PTSD-123,PTSD and Burnout for educators,"Looking to form a support chat group for fellow teachers who feel like they are challenged by the above.I believe that in these unchartered waters within education , PTSD and/ or burnout creeps up on us all. No matter what specialist area we are working in. For me, it came from a Special Needs/ Inclusion/Indigenous environment. I love my work BUT my central nervous system had other ideas",Guest_95794607,Community Member,20-08-2024,PTSD and trauma,3,/t5/ptsd-and-trauma/ptsd-and-burnout-for-educators/td-p/598030
PTSD-124,General question for anyone who has experienced Sexual assault as a child.,"Hi, I was violently sexually assaulted as a 9 yr old by 2 guys. Despite much counselling from a brilliant specialist I had (and still can't 50+ years on) never been unable to forgive my 9 yr old self for a really dumb decision which has had ongoing effects since that day. Logically I know that it wasn't my fault but it was ... I didn't ask for what happened to happen, but I did decide to go a path that I was not supposed to go unless i had friends with me. So yes, it was my fault.However my question is -- I have told only 1 un-medical person ever (the medicals in the know are either dead or my current GP -- and the un-medical person is dead now also. (Sad, but I am relieved) I have been married for 45+ years and have never told my husband anything about my experience. I think that to tell him now would actually destroy our relationship trust-wise because he would be devastated that I am too scared of his reaction to be able to be open and honest with him.So what is the point?Interested to know the thoughts of others - particularly those in the same situation. Thanks.",Shosh,Community Member,07-09-2024,PTSD and trauma,1,/t5/ptsd-and-trauma/general-question-for-anyone-who-has-experienced-sexual-assault/td-p/599259
PTSD-125,Husbands porn addiction,"Ok, so I first came here when I needed help with my husband's depression but here I am a couple of months later and I am so traumatised and messed up in the head I don't know what to do. I knew he was alcohol addicted, I knew he was depressed but I didn't know he was popping prescription medicines or that he has a porn addiction too. During the course of talking to my husband and hammering him for answers I decided I would do the one thing I never imagined doing, I snooped. What I have discovered has left me in absolute ruins. In December last year over the course of 3 days he searched for and visited 52 kinky websites and signed up on 13 Kinky Dating sites. When confronted he of course denied it but I wasn't having any of it. To cut a very long story short I have discovered he is addicted to porn and has even watched it at home right under my nose. The nature of the porn has gotten worse and while I haven't actually viewed any of it judging by what he was searching for I can only imagine. My heart is shattered, my head severely messed, I cannot eat, cannot sleep due to nightmares, I have invasive thoughts - things pop into my head at any time and I'm really struggling to deal with it all. He has accepted he has a massive problem and wants to get whatever help he can. He is genuine in this and has begged me to stay and help him. The trouble is, who is going to help me? There seems to be so much out there for his addiction but all I can find is sites telling me how I'm feeling. I already know that! I need help to accept, move on and heal. I am so lost. I don't know who I am anymore, I don't know who he is anymore, I'm broken, sad, depressed and have been having crazy irrational thoughts. Is there any hope?",Empathic,Community Member,25-09-2017,PTSD and trauma,53,/t5/ptsd-and-trauma/husbands-porn-addiction/td-p/337418
PTSD-126,Triggered by actions. Reliving Trauma.* Potential Trigger Warning *,"Hello, 4 weeks ago my beloved cat was killed by my next door neighbours dogs. They had dug under the fence and I found him dead. We followed council laws and our property was safe for him,but the dogs dug under the fence and we didn’t see it coming. For 2 yrs we have lived next to them and everything was fine. When I found him I lost it screaming hysterically. I can’t get that image out of my head. The look on his face. The fact that it was just another normal day for us like the last 3.5 yrs,and now he was dead infront of me and in my arms. I haven’t been okay since. I have spoken to mental health professionals and am being treated for a variety of things. PTSD being one of them. I keep getting triggered by my own dogs, who had nothing to do with my cats death. I understand that. My cat was raised with our dogs and they all got along like family. They loved each other. However now,when my dogs pick up their toys and shake them in play, all I can immediately think of is my cat. My mind freezes,my body feels a flush of dread,it stiffens up and pain goes through my body.My teeth clench and my neck stiffens to the point my head gets a sharp headache. I understand that my dogs are just playing with their toys. There isn’t anything violent about it, just play. But my mind still goes there. Does anyone have any advice on this? Thank you for any suggestions. ABC01",ABC01,Community Member,15-06-2024,PTSD and trauma,22,/t5/ptsd-and-trauma/triggered-by-actions-reliving-trauma-potential-trigger-warning/td-p/593531
PTSD-127,PTSD trigger warning sexual assault mentioned,"Hi everyone, I’m 19 and currently in a relationship and I am currently struggling with ptsd due to multiple sexual assault incidents since I was 15. I am currently in therapy and have started EMDR therapy but I am struggling with coping with my trauma. I have periods of time where I struggle more with flashbacks and nightmares especially if I am asleep in the same bed as my boyfriend, I have panic attacks and sometimes my body can still feel the trauma. I have tried to explain this to my boyfriend and I know that it’s difficult to understand. I feel like sometimes he gets frustrated with me about it especially because I really struggle with intimacy now. does anyone else have problems like this with their partner, has anything helped?",Gia052,Community Member,30-08-2024,PTSD and trauma,1,/t5/ptsd-and-trauma/ptsd-trigger-warning-sexual-assault-mentioned/td-p/598752
PTSD-128,PTSD from caring for mum,"The last few years my mum, 78, had bladder cancer treatment which worked. She's now in remission. But in that time, I (47) have grown to despise certain parts of her. It's like her medical issues and personality got all jumbled up. I hated the illness, but i didnt hate mum. For a long time everything was a crisis with mum, at least in her own mind. Over time I got burnt out. I would regularly just drive off to go for a walk to get away from her constant fears, worries, nagging. The problem is now whenever I get phone calls from her, I blow up. Today I went down the shops, a drive I find peaceful but being interrupted by her calls just made me fly into a temper tantrurm. I get that I'm her carer, support system, but sometimes I just need some space. How do I stop over reacting this way? It hurts her, it's shameful. I have a woodworking hobby as an outlet. But this incessant checking up on me all the time drives me nuts. Mum suffers with anxiety, but how can I stop blowing up from something so trivial?",David35,Community Member,18-08-2024,PTSD and trauma,8,/t5/ptsd-and-trauma/ptsd-from-caring-for-mum/td-p/597912
PTSD-129,how do i tell my family and loved ones? (tw: mentions of SA and rape),"Hi, when i was 17 years old i was sexually assaulted by a guy i barely knew (i am now 20). he was sober while i was under the influence of alcohol and drugs. over the past three years, i feel that i have dealt with it in an extremely unhealthy way. whenever the feelings or the thoughts of the incident arise, i try to push it under the rug and “forget about it”. which builds up all these emotions, and maybe once every two-three months i actually cry about it. i haven’t told anyone about my experience, because i feel ashamed that i put myself in a position to be violated like that because of taking the drugs and alcohol. i have pushed friends away because of this and have not been able to stay in relationships. ultimately, i just need advice on how to approach this topic to my family, specifically my parents. i am at the point where i need to get it off my chest but i am too afraid. i also want to try therapy, but i don’t want to feel pressured into reporting the incident to law enforcement. i don’t think i am ready to do that or really will ever be. any advice would help thank you so much 🩷 i also wanted to add that i am now sober! i am now a year sober from drugs, 4 months sober from alcohol and 3 months sober from nicotine.",maddyy354,Community Member,13-08-2024,PTSD and trauma,2,/t5/ptsd-and-trauma/how-do-i-tell-my-family-and-loved-ones-tw-mentions-of-sa-and/td-p/597561
PTSD-130,Workplace,Yes I have been targeted by the people I work for Queensland Health subjected to an illegal investigation by their ethical standards unit. It took them 2 months to inform me of what the allegations were and 7 months to find me guilty. They insisted my GP fill in a very personal form requesting my full medical record which I refused prior to informing me of my guilt. When I returned to work I was isolated from my department I was sat at a kitchen table in an unfamiliar area outside a manager’s office I couldn’t get into the office due to my id not opening the door and had to stand outside like a dog waiting to be admitted when staff wanted to have a meeting I was told to move.The work I was given was meaningless and despite requests for passwords no help was forthcoming. No one cared whether it was done or not as it was unnecessary. I went on sick leave. The manager was emailing me on a Sunday asking for medical certificates. Finally they removed my access to my department emails sighting I was on leave. Other staff had been on leave 6 months but continued to receive emails this prevented me attending staff meetings and inservice training. Now I’m left with nothing still on long service leave living on 72 dollars a fortnight.,Leo25,Community Member,13-08-2024,PTSD and trauma,2,/t5/ptsd-and-trauma/workplace/td-p/597517
PTSD-131,I’m a bit confused about my feelings (TW: mentions of SA),"I didn’t know what topics to put this under due to being unsure about the entire thing myself. (Sorry if I get anything wrong or call it the wrong thing). As the title suggests I’m confused. When I was 9 I had this neighbour I was friends with her, I didn’t realise it at the time but during our whole friendship she would constantly body shame me. Then one day she came over and SA me (I think, idk if I can classify it as that she didn’t do much other then got me to take my shirt and pants of and then ground on me and I didn’t say no). That was 7 years ago to this day it still bothers me I am no longer friends with her but I feel really shitty because the few interactions I’ve had with her now she is extremely nice to me and now I feel guilty for still holding a grudge against her. Idk tbh I can’t do anything about it now anyway because I don’t have evidence and I don’t think people would believe me.",ILoveSharks28,Community Member,11-08-2024,PTSD and trauma,6,/t5/ptsd-and-trauma/i-m-a-bit-confused-about-my-feelings-tw-mentions-of-sa/td-p/597320
PTSD-132,i don't know if it counts,during my last relationship we moved so fast things were happening quicker than i thought. i thought i was ok doing them but now i feel so dirty and regret it deeply and wish i could go back and change what happened. halfway through doing stuff i regretted it and just wanted to cry. why do i feel like this?,yeah,Community Member,09-08-2024,PTSD and trauma,5,/t5/ptsd-and-trauma/i-don-t-know-if-it-counts/td-p/597255
PTSD-133,I’m a victim of image based abuse and I feel really upset and alone.,"I’m a female in my mid 30s. I have children of my own. I was in an unhealthy relationship for many years. I had children with this person. During the relationship there were a lot of red flags that I should have payed more attention to but somehow ignored. A year or two into the relationship he had sexual intercourse with me whilst I was asleep. He didn’t physically hurt me but there definitely wasn’t consent. a year or so later I woke up to him a similar incident involving my face. Near the end of the relationship I woke up to him taking photos of me and touching me whilst I was sleeping. I was upset after each of these situations, we broke up shortly after the last one. A few years after we broke up (so fairly recently) I was looking at some digital photos he had given me and found a folder full of photos and videos he had taken of me whilst sleeping without consent. In some of them he’s touching me intimately. min some of them he’s moved my clothing to get a better “shot”. He’s also recorded us having sex without my knowledge or consent. Even though these photos were taken a few years ago and we have since broken up, I still feel really upset about it and violated. Some of these photos were taken at the beginning of the relationship and others were taken at the end of it so this has happened on a lot of occasions and has occurred over a long time. Ive searched online to see if I could connect with someone else who has been through a similar experience but can’t seem to find anyone? surely I’m not the only person this has happened to? I know that it’s illegal to take photos like this without someone’s consent but most of the info I can find focuses on the nonconsensual “sharing” of intimate images and says nothing about nonconsensual “taking of photos”. The ex and I did sometimes send consensual nudes to each other throughout the relationship but this feels completely different due to the violation of trust and privacy surrounding these photos/videos. I feel really hurt. My self esteem is affected. I feel like this has affected my self value negatively. I don’t know what to do about it from here. I don’t know if I would be taken seriously if I reported it? I’m worried that my ex would just lie and say that they were consensual if I report it? I feel so betrayed and disgusting.",PinkDiamonds25,Blue Voices Member,20-09-2023,PTSD and trauma,9,/t5/ptsd-and-trauma/i-m-a-victim-of-image-based-abuse-and-i-feel-really-upset-and/td-p/574881
PTSD-134,isolation and gaslighting,"I was recently investigated by police, I discovered it was illegal and I made a complaint. Since then I've been forced to isolate due to extreme bullying, harassment, and psychological abuse, and gaslighted that it's all in my head. The only reasonable inference is that this is how the police illegally target someone they deem to be a problem, and everyone seems to be ok with going along with it. This is causing me extreme anxiety.",x__,Community Member,02-08-2024,PTSD and trauma,10,/t5/ptsd-and-trauma/isolation-and-gaslighting/td-p/596742
PTSD-135,Narcissistic Abuse recovery,"Hi everyone, I am really needing help and support, or even advice. I have recently split from a 7 year relationship from what I now believe is a malignant narcissist. I am feeling damaged and empty, and also generally anxious and scared. I made the decision and it took 4 months to get him to actually leave the home. I have since been told many things he said and did that I was completely unaware of. It seems that he had a laid a very cunning long term plan which mostly centred on my trust and naivety. My whole sense of self has been rocked and my world turned upside down. I am now 52 and feel so stupid for trying so hard for so long with this person. I think a lot about laying down to sleep and not waking up and what a relief ir would be. I have 2 children who that would hurt greatly, so that is not an option. As a result of the type of person he is and the way the relationship was, I am highly anxious and fearful. There were violence and threats in the beginning of the relationship which eventually ground me down to a fawning and weak person. He has no empathy for anyone in general so he would actually laugh if he knew how bad I am feeling. I have gone completely no contact for months now, but he is now attacking me through the legal system. I suppose that I would just like any advice anyone may have. I have been having some counselling but it is expensive. I am so incredibly disappointed in myself.",21_23,Community Member,24-06-2024,PTSD and trauma,24,/t5/ptsd-and-trauma/narcissistic-abuse-recovery/td-p/594078
PTSD-136,"Help! Psychosis, accusations and hurtful comments from my boyfriend.","I have been in a relationship of 9yrs with my boyfriend, we have 2 children. The last year has been a total mess, resorting to the destruction of our entire relationship. With accusations of infidelity, physical/emotional/psychological abuse, DVO, drug use and complrte mental health break downs. When my partner uses, I can see within mins a change in him. Firstly he goes quiet, shy boyish like, unsure how to do every day things, totally confused by everyone and unable to comprehend the simplest of things spoken in general conversations. Hours after his first use, he becomes aggressive, agitated, frustrated and usually begins, the 2 day torment, that involves accusations of being a sex worker, cheating with his friends and/or people in the home. He constantly changes my words, names and says I talk backwards. In the last 6 months it has got worse, he is in psychosis, still showing signs of psychosis most days of the week, which has meant he cannot live at home, and be around the children. I am heart broken, I love this man, and completely believed we would be forever, but our relationship is torn to shreads. I don't know what to do, I'm exhausted, numb, sad, with little hope.",Peggie,Community Member,05-08-2024,PTSD and trauma,1,/t5/ptsd-and-trauma/help-psychosis-accusations-and-hurtful-comments-from-my/td-p/596959
PTSD-137,can't talk about it,having a difficult time with isolation trying to get support but I'm not allowed to talk about what I've been going through how do you get support when you can't talk about the problem?,x__,Community Member,01-08-2024,PTSD and trauma,10,/t5/ptsd-and-trauma/can-t-talk-about-it/td-p/596654
PTSD-138,How can I fight against corporate people?,"How can I fight against the corporate environment and the previous who took me for a ride and abused me to the point of no return. Sadly, these people in power are much smarter than me because they eat meat and fish they are able to outthink my every move and they got away with sleeping with anyone they want. Emotionally abused me and brainwashed me without my consent sadly I have no say in the matter because it's a form of gaslighting where the parties got away with subtle abuse and I saw them play god with my life without my consent I think this should be posted as well for people to know how horrible working Centrelink /Medicare in the corporate environment out there is it's made me lose passion in my life where I go what's the point and my team leader got away with a lot of bad thing.",Federer,Community Member,26-06-2024,PTSD and trauma,21,/t5/ptsd-and-trauma/how-can-i-fight-against-corporate-people/td-p/594270
PTSD-139,Trauma after cardiac arrest,"I recently suffered a cardiac arrest and am struggling with the emotions surrounding this, as well as my kids also being very anxious about it. I constantly think about the what ifs and my daughter who is 16 is often breaking down into tears and cant really put into words why. Anyone have any advice?",Guest_13849797,Community Member,26-07-2024,PTSD and trauma,1,/t5/ptsd-and-trauma/trauma-after-cardiac-arrest/td-p/596222
PTSD-140,Injury Trauma,"Hi,im 16 and about 10 months ago i dislocated my shoulder playing netball and really struggle to put myself back out there, I still have not fully recovered due to the dislocation, it was out for 3 hours effecting my spine and the same of my neck which effects my hips bc of nerve damage, but thats not why i wanted to do this, I was wondering if theres anyone else out there who has had an injury and has like flashbacks or like gets into a state were they can't do anything but replay that moment over and over in there head.And uh, i was just wondering if theres anyone who has suffered this traumatic experience my physio and chiro keep telling me ive faced,a and managed to find a way to stop the so called ""flashbacks"" or ""states"" that im struggling to get out of.I really miss netball and i can't play yet but hopefully i can build up enough strength eventually to play again, so if anyone can also maybe tell a story or give some advice about how they managed to put themself back into doing sport even though they could injure themselves again that would be very helpful.sorry to bother anyone whos actually dealing with huge trauma rn i just thought someone might have some ideas or something... thanks,Ellie",21e,Community Member,24-07-2024,PTSD and trauma,1,/t5/ptsd-and-trauma/injury-trauma/td-p/596115
PTSD-141,PTSD Battle - Toxic Relationship Situation,"Hello I am a medically retired veteran from the policing fraternity. I have severe PTSD and manage daily life as best as I can. My partner of 9 years has been my Saviour Angel and I treasure her immensely. I have a son 21 and daughter 18 who are very close to myself. My relationship with my ex wife who is a psychologist is good and she has been supportive all through my journey living with my PTSD. Our marriage broke down due to my ptsd and my reluctance to leave the policing career. I was open from day one with my current partner about my ptsd. She understood the seriousness of my mental health. I cannot ask for a more loving partner. Here is the issue….she has a 27 year old daughter who is married with 2 kids under 3. She and her family live with her dad. Since the early days of my relationship with my partner, her daughter has constantly attempted to sabotage it through the following methods…creating jealousy issues when my kids use to visit us for school holidays..by trying to get them in trouble by false stories, bringing up her mum’s ex partner often to see my reaction, inviting her dad along to private gatherings that her mum and me organise to attempt to cause an issue. Now that she has 2 kids….she is attempting to create a bigger conflict between her mum and myself by constantly forcing her mum to visit her at her house where her dad lives in the granny flat. I have for years gone along to visit her with my partner even though it’s been uncomfortable to be around her ex husband who is autistic and has no concept of relationship boundaries.The ex husband constantly dredges up about my partners married life with him and relives the thing they use to do eg holidays. I have ceased going along for the weekly visits to my partners daughter’s house to maintain my calmness. I feel my ptsd is getting worst as the narcissistic daughter now demands frequent weekends away without her kids and my partner has to babysit the whole time at her house. The daughter is very aware that her mum is a pushover and that this is causing major issues in my relationship with her mom. My partner works in high stress corpoarte environment and the weekends gives us a chance to have couple time by either travelling or catching up with our friends. I am at a crossroad now and wonder if its better for my ptsd to rent my own place and end the relationship? My daughter has moved in with us for her university studies and is concerned for my mental health. She has confirmed my opinion about my partner's daughter being a narcissist person. I have tried so many times to get my partner to join me at my psychologist office to discuss the dire situation that is been caused by her daughter but she says 'theres nothing wrong and your just picking isssues'. Close friends and family have adviced me to walk away and be happy rather then be 'gas lit' and stay in a coercive situation.....any advice?????? Please.....",Tigs888,Community Member,23-07-2024,PTSD and trauma,2,/t5/ptsd-and-trauma/ptsd-battle-toxic-relationship-situation/td-p/596013
PTSD-142,Bad experience with police/reporting rape?,"Hi, I am hoping to hear from other rape survivors in hope someone has been through what I have. When I reported my rape an officer encouraged me not to report 2 other assaults by this person because it sounded like ""risky sex"". This really hurt, because each time I was badly assaulted. I am wondering is anyone else who has reported rape in Australia has had bad experiences with police like me? I am finding it really hard to understand why not all victims are given the chance to go to court due to 'not enough evidence' as well. Of course rapists will deny it and I just cannot understand how this is all the system does before closing a case. Has anyone else struggled with not having 'enough evidence' to get a conviction and bad remarks from police officers? This has really deeply affected my trust in society. It just feels hard to understand the world when you are raised to believe these things are wrong, yet police support the rapist. Thank you for any insights. I have felt very alone in this and was wondering if there are others out there who have had similar bad experiences when reporting their rape?",TimTams,Community Member,14-04-2019,PTSD and trauma,66,/t5/ptsd-and-trauma/bad-experience-with-police-reporting-rape/td-p/430091
PTSD-143,PTSD @ Trauma,"Hi everyone, I’m here today to reach out to like minded people like myself who suffer from PTSD & Trauma . I’ve suffered Trauma all my life , but the last 7 years has been challenge for me .If your suffering like me I would love to hear from you all to help with many strategies to overcome them thank you",Female,Community Member,28-05-2024,PTSD and trauma,4,/t5/ptsd-and-trauma/ptsd-trauma/td-p/592326
PTSD-144,Narisstic adult daughter,"Hi I am new here. For many years I experienced abuse from.my husband then left him when my daughter was 6. She has autism and an intellectual impairment. I always ha difficulty dealing with her behaviour. We saw numerous therapists and psychologist but no one helped me with her aggressive, revengeful control behaviours. I honestly don't think they believed me. I have a teaching degree so I knew how to manage children's behaviours but I couldn't control my own child. She is now 21 and is living with a boyfriend who is now under her control. She displays narisstic traits. He has been so good to her and he is a kind soul. His family is now very worried about their son and have asked me to help. But she won't listen to anything I say to help her in any kind of way. As a result of years of abuse from my own child I also have received trauma from her. It breaks my heart that she is now hurting another gentle soul and family. Is there anything I can do to convince her to get some help?",Scampy,Community Member,15-07-2024,PTSD and trauma,1,/t5/ptsd-and-trauma/narisstic-adult-daughter/td-p/595516
PTSD-145,Self Loathing...,"Hi Gang. Saw a post here somewhere ""I Hate Myself"".Made a few posts here... Bipolar (Depressive since 14, MAD since 2003), CSA Survivor (8/9-12-14) Peer Group Survivor Supporter and friend for 20 years. SELF HATRED.Knew THAT back in My Day. Despised/Disgusted with myself. ""It's SH*TE Bein' ME! Ah'm the Lowest of the LOW!"" - TRAINSPOTTING (Adapted) I saw it all as Weakness too. Too WEAK to say NO to Predators (not yell ""No WAY!!"" and run a Km like a virtuous boy ought).I was Pathalogically Shy as a kid too, and saw this as WEAKNESS too, Social COWARDICE, and Hated myself for THAT too...My School Reports (Bombed in EVERYTHING But English and History) All said ""NOT working to capacity/Potential"" ""Inattentive in class"". Easily Distracted. So I thought I was a LOSER and Weak Failure THERE too. It ALL Builds UP, reasons NOT to be a ((((FRIEND)))) To Yourself. I wasn't for Decades. Pretty Proud of what I do these days, Life has HOPE and PURPOSE, and using a Skill Set to Comfort Others. Buddhist PSYCHOLOGY!! (Not Philosophy).""Everyone's Problem is the Same, down Deep, we just don't SEE it for the Surface Squalls and Trials. It is living a Dissatisfied/Unfulfilled Life with No Hope or Purpose to it.Found Mine.Share it.",Tonic,Community Member,09-07-2024,PTSD and trauma,2,/t5/ptsd-and-trauma/self-loathing/td-p/595115
PTSD-146,Sexual harrassment and sexual assault,"My landlord has been sexually harassing me and touching me for 3years. Due to the housing crisis I kept a diary of the happenings until it was time I move out and then proceed to report to police. Landlord has just found out I have been keeping records of his behaviour and has kicked me out onto the streets. I have reported to police 2 times now as I was told by the woman's sexual assault councillor that there is a victims assist package to get me out and safe but need a police report number. Police are not taking it seriously making excuses for his harrassesment. I feel let down by police, they are meant to protect us. Police said I'm only reporting as a retaliation because landlord has kicked me out. It's actually the landlord retaliating on me because he found out I have evidence. The justice system is broken in north Queensland. My mental health is beyond control. My meds don't work, I'm on the streets were I don't belong. Why is it so hard to prosecute this behaviour even with evidence?",Sambucca,Community Member,07-07-2024,PTSD and trauma,6,/t5/ptsd-and-trauma/sexual-harrassment-and-sexual-assault/td-p/594974
PTSD-147,I’m a 27-Year-Old Kid,"Hi, I still feel like I’m 6, 12, 17 years old. It’s like I’m stuck at those ages at certain times in certain days because I didn’t get to live those days like I wanted to when I had them. Even now, I find myself repeating the same behaviours to have the same routine every night, like I would’ve had when I could in my teen years. It’s like I lost the time, lost who I am and lost my ability to move forward… Just stuck. I have a career now. I’m educated on a tertiary level. I’ve achieved ‘success’ in many avenues. But on nights like this, I go back to being that 6 year old kid… And nights like this is every night. I’m afraid I’ll never be able to move on. I’m still fighting, and won’t give up fighting, but the child within me refuses to grow up. He refuses to forgive the time that escaped him.Thank you for reading. I needed somewhere to get this off my chest, knowing some eyes world read it.",kiwiboy0897,Community Member,09-07-2024,PTSD and trauma,2,/t5/ptsd-and-trauma/i-m-a-27-year-old-kid/td-p/595079
PTSD-148,The time i was hurt,"I think i might have trauma?! A few weeks ago i was beaten up by a group of girls at a sleepover simpily because they did not like me and now everytime since then when j try to sleep its all i can think about till i start shaking and crying same with when im in school if somone jokingly says “wanna fight” i have the urge to run and start shaking mabye im overthinking it but im not sure why i csnt just get past it its over and done with i dont know why i cant just like forget it happend and be happy it makes me so angry because ill relize im hsppy then straight away like STRAIGHT AWAY be sent back to when i was screaming crying for help , i dont know mabye im over reacting or being a baby but thats all",angecorn,Community Member,01-07-2024,PTSD and trauma,2,/t5/ptsd-and-trauma/the-time-i-was-hurt/td-p/594555
PTSD-149,CPTSD & Royal commission into domestic violence,Since all the news on television and the upsurge of violence /murder against woman lately.Has anyone found their CPTSD has been exacerbated.? If so how are you coping with the situation.?It is my wish to write to the Royal Commission regarding a most serious incident which included grievous assult occasioning. And other incidents not to be mentioned here.ONE SMALL VOICE. I want my voice to be heard. I have thought long and hard about this but feel I have to tread gently as not to place myself at risk. The incident happened many years ago. And I know how I was mistreated ( not by all) and do not wish other women to endure the same. I have never done anything like this before.Has anyone any practical suggestions. Please.? Regarding how they manage stimuli of their CPTSD.Kind Regards Odette,Miss Odette,Community Member,03-07-2024,PTSD and trauma,2,/t5/ptsd-and-trauma/cptsd-amp-royal-commission-into-domestic-violence/td-p/594698
PTSD-150,Struggling with guilt for being on DSP and being triggered by comments,"I have ASD, ADHD and CPTSD (from childhood) and recently got approved for the DSP. I should have been happy but my housemate made a comment under her breath and then complained about dishes. She's complained to her coworkers (I found out through someone else) saying that she thinks I'm capable of work. It sent me over the edge and I relapsed with self harm after 2 years without doing it. I struggle with feeling safe at home in general due to my upbringing and I'm at the end of my rope. I can't find any housing as I'm on Centrelink and rentals reject me as there's a big line of people waiting and workers and families are priorities and I can't afford a caravan. Been on the cat 1 housing waiting list for 2 years. Anyways I feel guilty because I can't work my regular job. Only volunteer work and my housemate and other people believe I'm capable of regular work because the volunteering I do is for emergency services, both fire and ambulance. (Fire gets quiet in winter). The thing is for some reason emergency services is the only work I've not dreaded, I love it. It's the only place that's ever made me feel like I have any value and when I'm on a job it's the only place I feel like I'm in the moment, like my heads calm for once and I can work but I still struggle with some stuff due to trauma. It's helped me with self confidence and building skills. Sometimes even when I'm neglecting everything else and unable to get out of bed it's the only thing I can bring myself to do The thing is tho I still feel guilty and like I'm nothing but a dole bludger who should be able to handle regular work. I've tried paid work again and again over the years and it's always ended up with me hospitalized or frustrated. Because of my housemates comments too I don't want to be in the house at all. I had a breakdown today at the possibility of having to move town to get housing. If I move town though I'll have to move or drop my volunteer work and my only supports are here and I might have to rehome my lizard. I don't want to rehome a pet due to my living circumstances again. It's killing me, all I've ever wanted is stability and I would love to work a regular job and be normal. I'm not sure what to do anymore. I feel like nothing I ever do is good enough and that I'm never enough. I've thought about paid work in emergency services but it would be a long time to be well enough to do it full time and even then there's the possibility I'm too mentally ill to do it full time.",Lezza,Community Member,23-06-2024,PTSD and trauma,4,/t5/ptsd-and-trauma/struggling-with-guilt-for-being-on-dsp-and-being-triggered-by/td-p/594057
